"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MKRN3",30.5262849965265,3.42010458256517,0.683535164562376,5.00355323307301,5.62831143083581e-07,5.48545974135229e-06
"LINC01281",1.70783187079712,3.4103184672815,0.817290136072398,4.1727145804919,3.00991902125818e-05,0.000183963041613584
"ROS1",8.68456447966538,3.40761670008824,0.713381066099449,4.77671312293169,1.78183691074537e-06,1.51809007323827e-05
"MDGA2",9.15959038709633,3.40454558825459,0.837711441299742,4.06410300779981,4.82175297677532e-05,0.000276681837407368
"LINC00460",10.4793714934252,3.40131311616936,0.550614227702045,6.17730698744298,6.52042132894943e-10,1.29275596445982e-08
"MUC5B",2846.14169676484,3.39607383859334,0.694487415161533,4.89004374226628,1.00813572495801e-06,9.18212971169115e-06
"ZNF695",37.5248315257655,3.39472740708879,0.443929599667524,7.64699495062108,2.05730401281984e-14,1.11068018302577e-12
"KRTAP4-1",1.25235949161348,3.39456826483608,1.35229388382081,2.51022969596295,0.0120652652706915,0.0324557772172087
"BUB1B",399.348942542849,3.37869777073103,0.392092178162658,8.61710066893859,6.86707561183857e-18,8.92609662550589e-16
"CLSPN",339.350963801961,3.37860228167453,0.394984399203262,8.55376133459863,1.1914112014669e-17,1.44077771512716e-15
"CLEC5A",150.405548136443,3.37649742921553,0.423597832298212,7.97099789414994,1.57398193063446e-15,1.10895010979512e-13
"LOC105371401",29.4202727002832,3.37486841612415,0.369906529259346,9.12357081904327,7.26889701151486e-20,1.66684037414049e-17
"CDKN3",240.030452875633,3.37272011747052,0.377006574531227,8.94605119728796,3.68426236401223e-19,6.94212133969343e-17
"CDCA5",646.241683390841,3.36546067529501,0.350961102803656,9.58926971795449,8.87106652710646e-22,3.47788732378027e-19
"BUB1",580.150503730716,3.35734899681027,0.388820775646954,8.63469548720491,5.88836831786889e-18,7.82123326242836e-16
