"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC01028",7.90724245846924,-5.72106348379833,0.763159882248384,-7.49654642084069,6.55212190060428e-14,3.10453074148125e-12
"CIDEC",5479.45285852984,-5.69696344682408,0.775627837453984,-7.34497032175186,2.0580475985775e-13,8.76093922567835e-12
"KLK3",66.4456713045478,-5.65983939473306,0.877195127921129,-6.45220112900804,1.10237138530739e-10,2.56660356922096e-09
"SLCO1B3-SLCO1B7",4.22938229626116,-5.54867246175181,1.99668795757578,-2.7789382115013,0.00545368977917375,0.0166306407555359
"LINC01497",8.60749439415209,-5.54411714276116,0.592355354092259,-9.35944463818869,8.01568983642786e-21,2.43546716067565e-18
"NPY2R",216.355977727025,-5.52926237290562,0.800575466368169,-6.90660981404946,4.96372727911402e-12,1.54767783595365e-10
"MYOCOS",36.7447659141819,-5.48749117420294,0.750154793957859,-7.31514511191833,2.57103399834905e-13,1.07663173290911e-11
"LOC105372703",8.88774391436143,-5.45391890139002,0.654011796894305,-8.33917511471345,7.4810556473453e-17,7.21595315952469e-15
"ALDH1L1",1183.09289446104,-5.44209151898913,0.584320695726436,-9.31353545885183,1.23646524098561e-20,3.57794769198063e-18
"GPD1",11833.3776471381,-5.40625408726533,0.69774763341698,-7.74815109123344,9.32401591428035e-15,5.34525601010407e-13
"GABRA4",5.68195602822686,-5.38977133142124,0.81651127037384,-6.60097603913481,4.08459574491035e-11,1.03745317420623e-09
"LOC105376020",252.346582829946,-5.38510619660082,0.730722964109046,-7.36955927362533,1.71193038324277e-13,7.39109979138225e-12
"ALDH1L1-AS2",84.2295025346095,-5.38133799490667,0.726265110607547,-7.40960555079534,1.26675620917904e-13,5.64973269293852e-12
"HSD17B13",142.03798541345,-5.34839456070238,0.640754485898198,-8.34702632351468,7.00031201701624e-17,6.80626336790455e-15
"SCARA5",1196.12512892051,-5.3361236993324,0.536764324571669,-9.94127861159653,2.75270886434927e-23,1.57651079895355e-20
"AQP7P2",14.8456583654411,-5.33518023633443,0.819579620866273,-6.50965458449941,7.53238060098214e-11,1.80918552636436e-09
"LINC02237",16.7250523223005,-5.30031896047963,0.76405205557143,-6.93711759798297,4.00180701612364e-12,1.27623617262853e-10
"LOC105375707",16.7250523223005,-5.30031896047963,0.76405205557143,-6.93711759798297,4.00180701612364e-12,1.27623617262853e-10
"KCNIP2",2276.85798273196,-5.29680495350035,0.571734897193599,-9.26444227823085,1.96099472387043e-20,5.18107595142592e-18
"ACVR1C",1298.05308571727,-5.2870500414458,0.574492018323108,-9.20299999446161,3.48092917456148e-20,8.46109454460659e-18
"AQP7",2155.05148949436,-5.282724900539,0.735435633553023,-7.18312338908192,6.8136553708492e-13,2.56774451316638e-11
"LGALS12",1195.63993223782,-5.27710007056606,0.63429470831926,-8.31963439289791,8.82350579240369e-17,8.28080908478597e-15
"LEP",4738.25833577537,-5.26731510610535,0.800045445084593,-6.58376988265761,4.58666847592372e-11,1.15531762325677e-09
"PLIN1",16785.3918617143,-5.24486462414432,0.734914195732794,-7.13670337924904,9.55958241105276e-13,3.52067832826454e-11
"CD300LG",1396.86620949484,-5.21632619073372,0.608648808453934,-8.57033829407146,1.03181478411121e-17,1.28617035678929e-15
"VEGFD",413.045824603188,-5.21517754848756,0.451365244454766,-11.5542293354627,7.02750644723413e-31,2.44025141732743e-27
